ID,Run,Sequence_Length,Graph_Type,MSE,Predicted_Values,True_Values,Rescaled_Errors,Normalized_Errors
2,1,5,gnn_learned,780.86487,"[6053.987560272217, 4646.590065002441, 9010.364532470703, 581.9701352119446, 6240.281120300293, 5926.439208984375, 6306.145034790039, 7067.199104309082, 2909.892562866211, 7557.454818725586]","[8550.0, 2745.0, 7400.0, 289.0, 3039.0, 7872.0, 8528.0, 5708.0, 8559.0, 5918.0]","[-2496.012439727783, 1901.5900650024414, 1610.3645324707031, 292.9701352119446, 3201.281120300293, -1945.560791015625, -2221.854965209961, 1359.199104309082, -5649.107437133789, 1639.454818725586]","[-26.273815155029297, 19.403980255126953, 16.10364532470703, 3.0838961601257324, 32.666133880615234, -20.266258239746094, -22.67198944091797, 15.990577697753906, -62.767860412597656, 16.901596069335938]"
2,2,5,gnn_learned,790.3335,"[5724.342880249023, 4464.11710357666, 8703.60336303711, 337.1930148601532, 5964.04451751709, 5568.3468017578125, 5859.429389953613, 7165.3493576049805, 3012.624687194824, 7423.125152587891]","[8550.0, 2745.0, 7400.0, 289.0, 3039.0, 7872.0, 8528.0, 5708.0, 8559.0, 5918.0]","[-2825.6571197509766, 1719.1171035766602, 1303.6033630371094, 48.1930148601532, 2925.04451751709, -2303.6531982421875, -2668.5706100463867, 1457.3493576049805, -5546.375312805176, 1505.1251525878906]","[-29.743759155273438, 17.542011260986328, 13.036033630371094, 0.5072948932647705, 29.847393035888672, -23.996387481689453, -27.23031234741211, 17.145286560058594, -61.62639236450195, 15.516754150390625]"
2,3,5,gnn_learned,801.4226,"[6054.125633239746, 4842.648010253906, 9403.284454345703, 334.3641724586487, 6321.369705200195, 5977.22607421875, 6061.139427185059, 7093.314140319824, 2982.531074523926, 7338.730445861816]","[8550.0, 2745.0, 7400.0, 289.0, 3039.0, 7872.0, 8528.0, 5708.0, 8559.0, 5918.0]","[-2495.874366760254, 2097.6480102539062, 2003.2844543457031, 45.36417245864868, 3282.3697052001953, -1894.77392578125, -2466.8605728149414, 1385.3141403198242, -5576.468925476074, 1420.7304458618164]","[-26.272361755371094, 21.404571533203125, 20.03284454345703, 0.47751760482788086, 33.493568420410156, -19.737228393554688, -25.172046661376953, 16.297813415527344, -61.96076583862305, 14.646705627441406]"
2,4,5,gnn_learned,838.6842,"[6342.298049926758, 5017.892395019531, 9337.532043457031, 441.04153060913086, 6865.585525512695, 6271.5, 6451.150970458984, 7674.875305175781, 3027.097457885742, 7773.059875488281]","[8550.0, 2745.0, 7400.0, 289.0, 3039.0, 7872.0, 8528.0, 5708.0, 8559.0, 5918.0]","[-2207.701950073242, 2272.8923950195312, 1937.5320434570312, 152.04153060913086, 3826.5855255126953, -1600.5, -2076.8490295410156, 1966.8753051757812, -5531.902542114258, 1855.0598754882812]","[-23.238967895507812, 23.192779541015625, 19.375320434570312, 1.6004371643066406, 39.046791076660156, -16.671875, -21.192337036132812, 23.13970947265625, -61.46558380126953, 19.12432861328125]"
2,5,5,gnn_learned,860.31903,"[5839.940757751465, 4068.4269256591797, 9250.59814453125, 215.43025636672974, 6088.020812988281, 5764.45751953125, 5692.211357116699, 7222.58065032959, 2497.113899230957, 6991.986083984375]","[8550.0, 2745.0, 7400.0, 289.0, 3039.0, 7872.0, 8528.0, 5708.0, 8559.0, 5918.0]","[-2710.059242248535, 1323.4269256591797, 1850.59814453125, -73.56974363327026, 3049.0208129882812, -2107.54248046875, -2835.788642883301, 1514.5806503295898, -6061.886100769043, 1073.986083984375]","[-28.526939392089844, 13.504356384277344, 18.5059814453125, -0.7744183540344238, 31.112457275390625, -21.953567504882812, -28.93661880493164, 17.81859588623047, -67.35429382324219, 11.072021484375]"
2,6,5,gnn_learned,723.72876,"[5973.194217681885, 4566.740013122559, 9101.885986328125, 403.9801731109619, 6240.170463562012, 6095.861572265625, 6324.274795532227, 7285.173080444336, 3321.7171325683594, 7354.5401611328125]","[8550.0, 2745.0, 7400.0, 289.0, 3039.0, 7872.0, 8528.0, 5708.0, 8559.0, 5918.0]","[-2576.8057823181152, 1821.7400131225586, 1701.885986328125, 114.98017311096191, 3201.1704635620117, -1776.138427734375, -2203.7252044677734, 1577.173080444336, -5237.282867431641, 1436.5401611328125]","[-27.124271392822266, 18.589183807373047, 17.01885986328125, 1.210317611694336, 32.66500473022461, -18.501441955566406, -22.48699188232422, 18.554977416992188, -58.19203186035156, 14.8096923828125]"
2,7,5,gnn_learned,827.73096,"[5970.541839599609, 4831.498970031738, 9091.090393066406, 405.8860602378845, 6670.41096496582, 6494.914306640625, 6515.464218139648, 7137.961318969727, 2816.1266555786133, 7961.905418395996]","[8550.0, 2745.0, 7400.0, 289.0, 3039.0, 7872.0, 8528.0, 5708.0, 8559.0, 5918.0]","[-2579.4581604003906, 2086.4989700317383, 1691.0903930664062, 116.88606023788452, 3631.4109649658203, -1377.085693359375, -2012.5357818603516, 1429.9613189697266, -5742.873344421387, 2043.905418395996]","[-27.152191162109375, 21.29080581665039, 16.910903930664062, 1.230379581451416, 37.055213928222656, -14.344642639160156, -20.53607940673828, 16.823074340820312, -63.8097038269043, 21.071189880371094]"
2,8,5,gnn_learned,728.20966,"[5924.224338531494, 4285.130950927734, 8615.630340576172, 253.727520942688, 5993.399955749512, 5816.0269775390625, 5919.134307861328, 6720.146034240723, 3047.418731689453, 7125.496513366699]","[8550.0, 2745.0, 7400.0, 289.0, 3039.0, 7872.0, 8528.0, 5708.0, 8559.0, 5918.0]","[-2625.775661468506, 1540.1309509277344, 1215.6303405761719, -35.27247905731201, 2954.3999557495117, -2055.9730224609375, -2608.865692138672, 1012.1460342407227, -5511.581268310547, 1207.4965133666992]","[-27.63974380493164, 15.715621948242188, 12.156303405761719, -0.3712892532348633, 30.14693832397461, -21.416385650634766, -26.621078491210938, 11.907600402832031, -61.23979187011719, 12.448417663574219]"
2,9,5,gnn_learned,767.77966,"[5895.356216430664, 4425.082191467285, 8319.77767944336, 440.8433451652527, 5886.813591003418, 6011.29541015625, 5357.415283203125, 6867.3098068237305, 2896.903633117676, 6912.417251586914]","[8550.0, 2745.0, 7400.0, 289.0, 3039.0, 7872.0, 8528.0, 5708.0, 8559.0, 5918.0]","[-2654.643783569336, 1680.0821914672852, 919.7776794433594, 151.84334516525269, 2847.813591003418, -1860.70458984375, -3170.584716796875, 1159.3098068237305, -5662.096366882324, 994.4172515869141]","[-27.943618774414062, 17.143695831298828, 9.197776794433594, 1.598351001739502, 29.059322357177734, -19.382339477539062, -32.3529052734375, 13.638938903808594, -62.91218185424805, 10.251724243164062]"
2,10,5,gnn_learned,713.0625,"[5914.92525100708, 4460.155891418457, 8820.558166503906, 282.6717689037323, 6131.752281188965, 5907.2230224609375, 6246.685356140137, 6936.906021118164, 3240.811065673828, 7274.7692947387695]","[8550.0, 2745.0, 7400.0, 289.0, 3039.0, 7872.0, 8528.0, 5708.0, 8559.0, 5918.0]","[-2635.07474899292, 1715.155891418457, 1420.5581665039062, -6.3282310962677, 3092.752281188965, -1964.7769775390625, -2281.3146438598633, 1228.906021118164, -5318.188934326172, 1356.7692947387695]","[-27.737628936767578, 17.501590728759766, 14.205581665039062, -0.06661295890808105, 31.558696746826172, -20.466426849365234, -23.27872085571289, 14.457717895507812, -59.09098815917969, 13.987312316894531]"
3,1,5,gnn_learned,1760.5485,"[1992.8366012573242, 3374.512092590332, 155.12519454956055, 3191.6494636535645, 1200.1513710021973, 3844.4613037109375, 919.387861251831, 3575.9696044921875, 2084.569755554199, 8372.896453857422]","[7816.0, 6373.0, 673.0, 1942.0, 8037.0, 770.0, 2320.0, 1923.0, 7372.0, 4146.0]","[-5823.163398742676, -2998.487907409668, -517.8748054504395, 1249.6494636535645, -6836.848628997803, 3074.4613037109375, -1400.612138748169, 1652.9696044921875, -5287.430244445801, 4226.896453857422]","[-69.32337188720703, -32.950416564941406, -5.394529342651367, 12.882984161376953, -69.76376342773438, 32.025638580322266, -15.737215042114258, 17.218433380126953, -54.50959014892578, 45.94452667236328]"
3,2,5,gnn_learned,1865.2601,"[1484.8920516967773, 3060.6279792785645, 121.4416732788086, 3012.8980350494385, 705.9459009170532, 3695.0703125, 852.4216794967651, 3557.8828125, 2360.261054992676, 7979.435577392578]","[7816.0, 6373.0, 673.0, 1942.0, 8037.0, 770.0, 2320.0, 1923.0, 7372.0, 4146.0]","[-6331.107948303223, -3312.3720207214355, -551.5583267211914, 1070.8980350494385, -7331.054099082947, 2925.0703125, -1467.5783205032349, 1634.8828125, -5011.738945007324, 3833.435577392578]","[-75.37033081054688, -36.39969253540039, -5.745399475097656, 11.040185928344727, -74.80667114257812, 30.469482421875, -16.489643096923828, 17.030029296875, -51.66741180419922, 41.66777801513672]"
3,3,5,gnn_learned,1842.0713,"[1827.7219543457031, 3194.251251220703, 127.05354690551758, 3165.4871711730957, 957.707597732544, 3668.0413818359375, 544.3846192359924, 3495.3134765625, 1983.6669101715088, 8306.698455810547]","[7816.0, 6373.0, 673.0, 1942.0, 8037.0, 770.0, 2320.0, 1923.0, 7372.0, 4146.0]","[-5988.278045654297, -3178.748748779297, -545.9464530944824, 1223.4871711730957, -7079.292402267456, 2898.0413818359375, -1775.6153807640076, 1572.3134765625, -5388.333089828491, 4160.698455810547]","[-71.28902435302734, -34.931304931640625, -5.686942100524902, 12.613269805908203, -72.23767852783203, 30.187931060791016, -19.950735092163086, 16.378265380859375, -55.549827575683594, 45.22498321533203]"
3,4,5,gnn_learned,1809.6475,"[1817.6423645019531, 3192.0726165771484, 144.14910888671875, 3103.204086303711, 894.8936367034912, 3595.4931640625, 787.6105251312256, 3758.381103515625, 2371.6900367736816, 8366.801818847656]","[7816.0, 6373.0, 673.0, 1942.0, 8037.0, 770.0, 2320.0, 1923.0, 7372.0, 4146.0]","[-5998.357635498047, -3180.9273834228516, -528.8508911132812, 1161.204086303711, -7142.106363296509, 2825.4931640625, -1532.3894748687744, 1835.381103515625, -5000.309963226318, 4220.801818847656]","[-71.40901947021484, -34.95524597167969, -5.50886344909668, 11.971176147460938, -72.8786392211914, 29.432220458984375, -17.217859268188477, 19.118553161621094, -51.54958724975586, 45.87828063964844]"
3,5,5,gnn_learned,1858.8402,"[1905.4773254394531, 3435.3829917907715, 107.56203842163086, 3514.5597343444824, 761.8505916595459, 4050.0433349609375, 797.0241498947144, 3990.7525634765625, 2494.3897972106934, 8590.726837158203]","[7816.0, 6373.0, 673.0, 1942.0, 8037.0, 770.0, 2320.0, 1923.0, 7372.0, 4146.0]","[-5910.522674560547, -2937.6170082092285, -565.4379615783691, 1572.5597343444824, -7275.149408340454, 3280.0433349609375, -1522.9758501052856, 2067.7525634765625, -4877.610202789307, 4444.726837158203]","[-70.36336517333984, -32.2815055847168, -5.889978885650635, 16.211956024169922, -74.23622131347656, 34.167118072509766, -17.11208724975586, 21.53908920288086, -50.28464126586914, 48.31224822998047]"
3,6,5,gnn_learned,1834.876,"[1850.0919723510742, 3402.8357315063477, 194.5110092163086, 3483.336601257324, 927.6909294128418, 3768.8607177734375, 872.9670095443726, 4054.3297119140625, 2228.9317417144775, 8416.74722290039]","[7816.0, 6373.0, 673.0, 1942.0, 8037.0, 770.0, 2320.0, 1923.0, 7372.0, 4146.0]","[-5965.908027648926, -2970.1642684936523, -478.4889907836914, 1541.3366012573242, -7109.309070587158, 2998.8607177734375, -1447.0329904556274, 2131.3297119140625, -5143.0682582855225, 4270.747222900391]","[-71.02271270751953, -32.63916778564453, -4.984260559082031, 15.890068054199219, -72.5439682006836, 31.23813247680664, -16.25879669189453, 22.201351165771484, -53.021324157714844, 46.421165466308594]"
3,7,5,gnn_learned,1842.2965,"[1451.1249771118164, 3072.6899642944336, 145.7741928100586, 2820.808662414551, 767.690258026123, 3372.775390625, 594.6947054862976, 3214.74755859375, 2262.2686462402344, 7922.417785644531]","[7816.0, 6373.0, 673.0, 1942.0, 8037.0, 770.0, 2320.0, 1923.0, 7372.0, 4146.0]","[-6364.875022888184, -3300.3100357055664, -527.2258071899414, 878.8086624145508, -7269.309741973877, 2602.775390625, -1725.3052945137024, 1291.74755859375, -5109.731353759766, 3776.4177856445312]","[-75.77232360839844, -36.26714324951172, -5.491935729980469, 9.059883117675781, -74.17662811279297, 27.11224365234375, -19.385452270507812, 13.455703735351562, -52.677642822265625, 41.04801940917969]"
3,8,5,gnn_learned,1821.5579,"[1649.1871871948242, 3614.069911956787, 84.82880210876465, 3103.6409015655518, 827.8790187835693, 3770.132568359375, 526.0685415267944, 3878.2078857421875, 2461.2693576812744, 8212.349182128906]","[7816.0, 6373.0, 673.0, 1942.0, 8037.0, 770.0, 2320.0, 1923.0, 7372.0, 4146.0]","[-6166.812812805176, -2758.930088043213, -588.1711978912354, 1161.6409015655518, -7209.120981216431, 3000.132568359375, -1793.9314584732056, 1955.2078857421875, -4910.730642318726, 4066.3491821289062]","[-73.41443634033203, -30.317913055419922, -6.12678337097168, 11.975679397583008, -73.56246185302734, 31.251380920410156, -20.156532287597656, 20.366748809814453, -50.62609100341797, 44.19944763183594]"
3,9,5,gnn_learned,1818.1549,"[1879.8191680908203, 3012.0582427978516, 269.0309066772461, 3369.96333694458, 739.0472660064697, 3631.15771484375, 1075.7478723526, 3837.3984375, 2309.865598678589, 8090.7386474609375]","[7816.0, 6373.0, 673.0, 1942.0, 8037.0, 770.0, 2320.0, 1923.0, 7372.0, 4146.0]","[-5936.18083190918, -3360.9417572021484, -403.9690933227539, 1427.96333694458, -7297.95273399353, 2861.15771484375, -1244.2521276474, 1914.3984375, -5062.134401321411, 3944.7386474609375]","[-70.6688232421875, -36.93342590332031, -4.208011627197266, 14.721271514892578, -74.46890258789062, 29.803726196289062, -13.980360984802246, 19.941650390625, -52.18695068359375, 42.877593994140625]"
3,10,5,gnn_learned,1862.1559,"[1577.1462860107422, 3106.3442459106445, 127.78024673461914, 3018.8502674102783, 609.9753398895264, 3422.9722900390625, 603.2921953201294, 3594.492919921875, 2301.9218883514404, 7990.941192626953]","[7816.0, 6373.0, 673.0, 1942.0, 8037.0, 770.0, 2320.0, 1923.0, 7372.0, 4146.0]","[-6238.853713989258, -3266.6557540893555, -545.2197532653809, 1076.8502674102783, -7427.024660110474, 2652.9722900390625, -1716.7078046798706, 1671.492919921875, -5070.07811164856, 3844.941192626953]","[-74.27206420898438, -35.897315979003906, -5.679372310638428, 11.10154914855957, -75.78596496582031, 27.635128021240234, -19.28885269165039, 17.41138458251953, -52.26884460449219, 41.79283905029297]"
4,1,5,gnn_learned,1797.0475,"[7985.029602050781, 3233.211639404297, 5598.84827041626, 3056.160991668701, 7327.445816040039, 2355.0818939208984, 908.5362501144409, 5547.8125, 3082.9073600769043, 3158.3216094970703]","[800.0, 4056.0, 7665.0, 7723.0, 8429.0, 8430.0, 3881.0, 9025.0, 8527.0, 1079.0]","[7185.029602050781, -822.7883605957031, -2066.1517295837402, -4666.839008331299, -1101.554183959961, -6074.918106079102, -2972.463749885559, -3477.1875, -5444.092639923096, 2079.3216094970703]","[71.85029602050781, -8.943351745605469, -21.300533294677734, -50.18106460571289, -11.240348815917969, -61.98896026611328, -30.64395523071289, -36.220703125, -55.551963806152344, 21.217567443847656]"
4,2,5,gnn_learned,1730.383,"[8195.052337646484, 3471.676254272461, 5698.977207183838, 3230.9585189819336, 7916.124710083008, 2665.7860145568848, 940.5620613098145, 5733.1558837890625, 2999.1086196899414, 2740.597282409668]","[800.0, 4056.0, 7665.0, 7723.0, 8429.0, 8430.0, 3881.0, 9025.0, 8527.0, 1079.0]","[7395.052337646484, -584.3237457275391, -1966.022792816162, -4492.041481018066, -512.8752899169922, -5764.213985443115, -2940.4379386901855, -3291.8441162109375, -5527.891380310059, 1661.597282409668]","[73.95052337646484, -6.351345062255859, -20.26827621459961, -48.30152130126953, -5.233421325683594, -58.818511962890625, -30.313793182373047, -34.290042877197266, -56.40705490112305, 16.955074310302734]"
4,3,5,gnn_learned,1781.8447,"[8368.804168701172, 3310.233352661133, 5552.109222412109, 3499.458839416504, 8059.481262207031, 2582.228775024414, 1157.7129001617432, 5232.775146484375, 3024.235176086426, 3065.064708709717]","[800.0, 4056.0, 7665.0, 7723.0, 8429.0, 8430.0, 3881.0, 9025.0, 8527.0, 1079.0]","[7568.804168701172, -745.7666473388672, -2112.8907775878906, -4223.541160583496, -369.51873779296875, -5847.771224975586, -2723.287099838257, -3792.224853515625, -5502.764823913574, 1986.0647087097168]","[75.68804168701172, -8.106159210205078, -21.782379150390625, -45.41442108154297, -3.770599365234375, -59.67113494873047, -28.075124740600586, -39.502342224121094, -56.15066146850586, 20.265966415405273]"
4,4,5,gnn_learned,1797.15,"[8766.104888916016, 3382.4122772216797, 5993.768119812012, 3530.1724243164062, 8571.955795288086, 2636.121784210205, 962.6658201217651, 5597.968017578125, 3053.4823875427246, 3148.9587783813477]","[800.0, 4056.0, 7665.0, 7723.0, 8429.0, 8430.0, 3881.0, 9025.0, 8527.0, 1079.0]","[7966.104888916016, -673.5877227783203, -1671.2318801879883, -4192.827575683594, 142.95579528808594, -5793.878215789795, -2918.334179878235, -3427.031982421875, -5473.517612457275, 2069.9587783813477]","[79.66104888916016, -7.321605682373047, -17.22919464111328, -45.08416748046875, 1.4587326049804688, -59.12120819091797, -30.085918426513672, -35.69824981689453, -55.85221862792969, 21.122028350830078]"
4,5,5,gnn_learned,1687.6902,"[8350.018310546875, 3520.3238372802734, 5864.355354309082, 3699.7573623657227, 8322.006896972656, 2700.01651763916, 1079.9294414520264, 5866.06591796875, 2999.6833992004395, 3061.036205291748]","[800.0, 4056.0, 7665.0, 7723.0, 8429.0, 8430.0, 3881.0, 9025.0, 8527.0, 1079.0]","[7550.018310546875, -535.6761627197266, -1800.644645690918, -4023.2426376342773, -106.99310302734375, -5729.98348236084, -2801.0705585479736, -3158.93408203125, -5527.316600799561, 1982.036205291748]","[75.50018310546875, -5.822566986083984, -18.56334686279297, -43.26067352294922, -1.091766357421875, -58.46921920776367, -28.877016067504883, -32.90556335449219, -56.40119171142578, 20.2248592376709]"
4,6,5,gnn_learned,1767.7181,"[8583.241271972656, 3358.070587158203, 5687.760250091553, 3693.4691200256348, 7856.690826416016, 2602.5834465026855, 1201.5702810287476, 5566.2691650390625, 3006.5005645751953, 3191.278251647949]","[800.0, 4056.0, 7665.0, 7723.0, 8429.0, 8430.0, 3881.0, 9025.0, 8527.0, 1079.0]","[7783.241271972656, -697.9294128417969, -1977.2397499084473, -4029.5308799743652, -572.3091735839844, -5827.416553497314, -2679.4297189712524, -3458.7308349609375, -5520.499435424805, 2112.278251647949]","[77.83241271972656, -7.586189270019531, -20.383914947509766, -43.32828903198242, -5.8398895263671875, -59.46343231201172, -27.62298583984375, -36.028446197509766, -56.331626892089844, 21.55385971069336]"
4,7,5,gnn_learned,1694.0969,"[8639.03579711914, 3767.8440704345703, 5813.390613555908, 3245.058017730713, 8288.510803222656, 2941.784294128418, 961.1716566085815, 5720.178466796875, 3508.8507537841797, 2634.1318550109863]","[800.0, 4056.0, 7665.0, 7723.0, 8429.0, 8430.0, 3881.0, 9025.0, 8527.0, 1079.0]","[7839.035797119141, -288.1559295654297, -1851.6093864440918, -4477.941982269287, -140.48919677734375, -5488.215705871582, -2919.8283433914185, -3304.821533203125, -5018.14924621582, 1555.1318550109863]","[78.3903579711914, -3.132129669189453, -19.088756561279297, -48.1499137878418, -1.433563232421875, -56.002201080322266, -30.101322174072266, -34.42522430419922, -51.205604553222656, 15.868692398071289]"
4,8,5,gnn_learned,1847.0043,"[8189.1143798828125, 3172.1410522460938, 5231.360271453857, 3237.4656524658203, 7827.229965209961, 2460.050651550293, 825.8343181610107, 5345.6475830078125, 2761.8975830078125, 2752.9499015808105]","[800.0, 4056.0, 7665.0, 7723.0, 8429.0, 8430.0, 3881.0, 9025.0, 8527.0, 1079.0]","[7389.1143798828125, -883.8589477539062, -2433.6397285461426, -4485.53434753418, -601.7700347900391, -5969.949348449707, -3055.1656818389893, -3679.3524169921875, -5765.1024169921875, 1673.9499015808105]","[73.89114379882812, -9.607162475585938, -25.089069366455078, -48.23155212402344, -6.140510559082031, -60.917850494384766, -31.496553421020508, -38.32658767700195, -58.82757568359375, 17.08112144470215]"
